Index,UID,Description1,Description2,ImageType,Coord1,Coord2,Coord3,Coord4,fov_X,fov_Y,Z_um_top,Z_um_bottom,slices,DateTime
0,1.2.840.114434.000.10961822336373670458931928005632388805629,Confocal Images#1,Confocal Images#1,confocal image,"[75383, 55997]","[80383, 55997]","[80383, 50997]","[75383, 50997]",0.5,0.5,150.88,150.88,1,Wed Jan 11 16:31:45 2023
1,1.2.840.114434.000.10961822336373670458931928005632388805629,Confocal Images#10,Confocal Images#10,confocal image,"[65187, 62780]","[70187, 62780]","[70187, 57780]","[65187, 57780]",0.5,0.5,118.87,118.87,1,Wed Jan 11 16:37:49 2023
2,1.2.840.114434.000.10961822336373670458931928005632388805629,Confocal Images#2,Confocal Images#2,confocal image,"[75556, 51772]","[80556, 51772]","[80556, 46772]","[75556, 46772]",0.5,0.5,144.78,144.78,1,Wed Jan 11 16:32:12 2023
3,1.2.840.114434.000.10961822336373670458931928005632388805629,Confocal Images#3,Confocal Images#3,confocal image,"[75556, 51772]","[80556, 51772]","[80556, 46772]","[75556, 46772]",0.5,0.5,135.64,135.64,1,Wed Jan 11 16:33:11 2023
4,1.2.840.114434.000.10961822336373670458931928005632388805629,Confocal Images#4,Confocal Images#4,confocal image,"[77936, 55150]","[82936, 55150]","[82936, 50150]","[77936, 50150]",0.5,0.5,115.82,115.82,1,Wed Jan 11 16:33:25 2023
5,1.2.840.114434.000.10961822336373670458931928005632388805629,Confocal Images#5,Confocal Images#5,confocal image,"[83303, 43773]","[88303, 43773]","[88303, 38773]","[83303, 38773]",0.5,0.5,115.82,115.82,1,Wed Jan 11 16:33:49 2023
6,1.2.840.114434.000.10961822336373670458931928005632388805629,Confocal Images#6,Confocal Images#6,confocal image,"[89050, 44944]","[94050, 44944]","[94050, 39944]","[89050, 39944]",0.5,0.5,115.82,115.82,1,Wed Jan 11 16:34:03 2023
7,1.2.840.114434.000.10961822336373670458931928005632388805629,Confocal Images#7,Confocal Images#7,confocal image,"[86773, 36869]","[91773, 36869]","[91773, 31869]","[86773, 31869]",0.5,0.5,135.64,135.64,1,Wed Jan 11 16:35:03 2023
8,1.2.840.114434.000.10961822336373670458931928005632388805629,Confocal Images#8,Confocal Images#8,confocal image,"[63242, 61332]","[68242, 61332]","[68242, 56332]","[63242, 56332]",0.5,0.5,138.68,138.68,1,Wed Jan 11 16:36:49 2023
9,1.2.840.114434.000.10961822336373670458931928005632388805629,Confocal Images#9,Confocal Images#9,confocal image,"[64932, 60663]","[69932, 60663]","[69932, 55663]","[64932, 55663]",0.5,0.5,138.68,138.68,1,Wed Jan 11 16:36:54 2023
10,1.2.840.114434.000.10961822336373670458931928005632388805629,Macroscopic Images,Macroscopic Images,macroscopic image,"[9900, 103150]","[109900, 103150]","[109900, 3150]","[9900, 3150]",10,10,0,0,1,Wed Jan 11 16:30:30 2023
11,1.2.840.114434.000.10961822336373670458931928005632388805629,VivaBlock#1,VivaBlock#1,vivablock,"[19133, 93150]","[100666, 93150]","[100666, 13150]","[19133, 13150]",8.1533,8,135.636,135.636,1,Wed Jan 11 16:35:15 2023
12,1.2.840.114434.000.10961822336373670458931928005632388805629,VivaBlock#2,VivaBlock#2,vivablock,"[19133, 93150]","[100666, 93150]","[100666, 13150]","[19133, 13150]",8.1533,8,118.872,118.872,1,Wed Jan 11 16:37:50 2023
13,1.2.840.114434.000.10961822336373670458931928005632388805629,VivaBlock#3,VivaBlock#3,vivablock,"[19133, 93150]","[100666, 93150]","[100666, 13150]","[19133, 13150]",8.1533,8,123.444,123.444,1,Wed Jan 11 16:39:34 2023
14,1.2.840.114434.000.10961822336373670458931928005632388805629,VivaStack#1,VivaStack#1,vivastack,"[75556, 51772]","[80556, 51772]","[80556, 46772]","[75556, 46772]",0.5,0.5,80.77,228.6,98,Wed Jan 11 16:32:23 2023
15,1.2.840.114434.000.10961822336373670458931928005632388805629,VivaStack#2,VivaStack#2,vivastack,"[89050, 44944]","[94050, 44944]","[94050, 39944]","[89050, 39944]",0.5,0.5,67.06,214.88,98,Wed Jan 11 16:34:10 2023
16,1.2.840.114434.000.10961822336373670458931928005632388805629,VivaStack#3,VivaStack#3,vivastack,"[64932, 60663]","[69932, 60663]","[69932, 55663]","[64932, 55663]",0.5,0.5,51.82,199.64,98,Wed Jan 11 16:37:03 2023
